date,shf,lhf,swn,lwn,t,u,melt,subl,tdep,teq,rh,tlat
2019-06-06,1.811493980479347,-3.1452935531919515,122.55112826086956,-54.30565217391304,271.6393125,1.5703125,19.808564884014345,0.09928743497406044,-55.63945174662565,283.746622295048,0.7866562500000001,12.107309795047962
2019-06-07,8.013807984590532,-15.61234658444718,160.12364583333334,-57.16145833333332,270.6388958333333,1.9563125000000001,30.03340857794357,0.47630282426047027,-64.75999693318998,280.48648392663193,0.6829041666666668,9.847588093298606
2019-06-08,14.038088550092738,-35.54820258069612,169.4380375,-93.41854166666668,270.9113958333333,2.742125,17.951387287331446,1.083756070208942,-114.92865569727006,276.7046396147264,0.3890875,5.793243781393035
2019-06-09,-0.3902940403948498,-37.284527950487174,179.37900000000002,-38.47666666666666,269.6633958333333,2.5690833333333334,21.03377024324329,1.1846711579075555,-76.15148865754868,278.3963539248789,0.6830895833333334,8.732958091545585
2019-06-10,-4.328920786361302,-15.673472093259045,112.07250208333333,-38.943541666666675,270.03647916666665,1.8181041666666669,12.474183376852427,0.49147287229973363,-58.94593454628702,280.3488726064714,0.7773520833333333,10.312393439804753
2019-06-11,0.24638604740941106,-8.747819441698708,132.33962391304348,-61.17391304347826,270.86397916666664,1.6091875,20.601755013299318,0.2568831877204948,-69.67534643776757,282.1328539124864,0.7638791666666666,11.268874745819739
2019-06-12,1.7697311518313363,-3.952176496220409,117.66933333333334,-55.20416666666667,271.25793749999997,1.4887916666666667,19.49691641299473,0.14216640183340845,-57.38661201105574,282.61944648163416,0.7584062500000001,11.361508981634186
2019-06-13,0.7108195232053454,-5.825896296868906,126.32888043478262,-52.27782608695652,272.0473333333333,1.6802291666666667,20.946267936868903,0.18389374761196012,-57.39290286062009,284.6997700510354,0.8000937499999999,12.65243671770208
2019-06-14,3.2344702118551183,-9.224745428479979,145.94981249999998,-67.03479166666666,272.73612499999996,2.067458333333333,23.563864820130245,0.29305991152998323,-73.02506688329153,285.01496036462714,0.7382479166666666,12.278835364627135
2019-06-15,4.484720646996282,-11.211891237721774,175.44716458333335,-82.50270833333333,272.00935416666664,2.1737708333333337,29.354040633872398,0.3620523395653318,-89.22987892405882,283.90360100055557,0.7526604166666666,11.894246833888907
2019-06-16,5.444639763432493,-4.756824898068727,115.04212142857143,-81.01238095238095,273.41862499999996,1.7100416666666665,15.765642495177483,0.12689342353351898,-80.32456608701719,285.49245323543556,0.6865125,12.073828235435549
2019-06-17,-3.2776265594632563,-20.55585140606036,140.92397291666666,-32.70479166666666,271.20304166666665,2.2155,22.04288889041534,0.62750759755872,-56.53826963219027,283.70532838511406,0.84044375,12.502286718447387
2019-06-18,-2.8231972874616704,-24.527964817437553,112.80402500000001,-32.366875,270.3009583333333,2.4394375,15.179075974330422,0.7729373710710651,-59.718037104899224,281.8693398330017,0.83889375,11.568381499668368
2019-06-19,-3.803306685737512,-14.023477912514869,115.05570625000001,-29.226458333333337,271.2882916666667,2.1038125,16.435942010134728,0.4317357494529362,-47.053242931585714,284.1826571862957,0.8565583333333334,12.89436551962906
2019-06-20,4.3961181779794964,-6.985536700296166,128.82508333333334,-74.80375,272.34747916666663,1.77125,20.54534105043163,0.21608025123170627,-77.39316852231667,282.3647325207007,0.5856312499999999,10.017253354034091
2019-06-21,2.6109989653854244,-4.5963196118369,126.924875,-27.52395833333334,272.22658333333334,1.4557916666666666,22.55426705469652,0.17025631501624772,-29.509278979784813,284.81934024158045,0.7950708333333333,12.592756908247134
2019-06-22,-2.1200076881658116,-4.85168229046776,35.987981250000004,-2.5018749999999934,271.37222916666667,1.5174583333333331,7.629461253023798,0.15055891012314507,-9.473564978633567,286.21621192956894,0.9711041666666667,14.843982762902252
2019-06-23,12.807880807807669,-3.667605029543894,37.283289473684206,-61.392894736842116,272.05441666666667,2.1665625,5.141793374882857,0.13218616204159597,-52.252618958578346,284.2505316938741,0.7489729166666667,12.196115027207469
2019-06-24,6.900421473830914,-5.757910446881092,135.6501458333333,-76.29750000000001,273.5155625,1.9507291666666668,21.992608033423753,0.2009372204277383,-75.1549889730502,284.3449963249588,0.6038895833333333,10.829433824958798
2019-06-25,2.0291809234006726,-2.40872217850073,83.60638636363636,-49.81886363636365,274.0413541666666,1.3540625000000002,13.160458492288653,0.07157167194138471,-50.19840489146372,287.81647240613796,0.7361020833333334,13.775118239471306
2019-06-26,0.8220392926225837,-6.232884558889447,95.72649999999999,-34.720454545454544,273.1301041666666,1.8798333333333332,14.551044212494528,0.17585440484009995,-40.13129981172141,287.1192741929927,0.8042291666666667,13.989170026326036
2019-06-27,1.7292529319713725,-4.971755088737987,133.5663125,-32.60375,273.28029166666664,1.5840416666666668,26.891266640746352,0.15555872698982381,-35.84625215676661,287.7013339863745,0.8225229166666667,14.421042319707842
2019-06-28,0.7860655338609063,-4.536960450451347,119.77589583333332,-37.54979166666667,272.36270833333333,1.6988958333333333,26.33192078403904,0.15518815745890596,-41.30068658325711,286.96790773096336,0.8796583333333333,14.605199397630043
2019-06-29,0.7206144088200916,-3.3145791692510005,113.85477619047619,-44.32880952380952,273.1415625,1.3251041666666665,17.174147454930882,0.09772006782995055,-46.922774284240425,288.3399853009161,0.8736229166666667,15.198422800916104
2019-06-30,1.961046675971958,-2.3572929866479937,114.19974999999998,-57.26613636363638,272.98129166666666,1.3459791666666667,18.279585303481966,0.08537658348816012,-57.66238267431242,286.3588986941534,0.8010562499999999,13.377607027486796
2019-07-01,3.994287021256895,1.4700415948630607,72.77800454545455,-8.230227272727278,273.48633333333333,1.1524791666666667,11.542268513832578,0.02597474927768255,-2.7658986566073214,287.97091764043313,0.8155520833333334,14.484584307099786
2019-07-02,6.792901223965696,-0.48285705022298653,107.15956818181817,-60.49477272727274,273.5953958333333,1.8642708333333333,18.55885613502906,0.0733035249667988,-54.18472855353003,287.6788271458384,0.7816291666666667,14.083431312505105
2019-07-03,2.7904747824457505,-1.58509457158987,187.60911458333337,-43.22291666666666,274.1077916666666,1.3972708333333335,37.3601846804835,0.06847871923832306,-42.017536455810784,290.2484827889239,0.8633208333333333,16.14069112225725
2019-07-04,0.8301124456647694,0.1301289768655233,164.9780608695652,-22.96326086956522,274.5255625,0.7251041666666667,31.58599344190443,0.004091478841504702,-22.003019447034927,290.4786565324797,0.8351229166666667,15.953094032479726
2019-07-05,0.015880040695424563,-0.6492104202696708,87.39519047619048,-4.644999999999995,274.0964375,0.8475208333333333,17.173829267148157,0.02852763341669876,-5.278330379574242,290.41566234544877,0.8817750000000001,16.31922484544881
2019-07-06,-0.20693547796073317,-1.9324401710713481,89.66482608695652,-15.10173913043478,273.4393958333333,1.3503749999999999,18.68411509974916,0.07503754706701854,-17.241114779466862,289.6919392145483,0.9102375,16.252543381214963
2019-07-07,-0.20268716476227028,-1.6560874437811788,36.92033260869566,0.2291304347826104,273.26849999999996,1.5180625,9.243689321883332,0.0542818938862078,-1.6296441737608385,290.34405254137107,0.9610333333333334,17.075552541371092
2019-07-08,0.04876061691772555,-0.9749041730313195,48.211999999999996,0.2772727272727286,273.48065909090906,1.64325,11.859308190701926,0.05420983856913875,-0.6488708288408653,291.1384930626246,0.9776250000000001,17.65783397171552
2019-07-09,-0.12672895801115872,-0.43922916685092595,16.526595238095236,3.3704761904761944,273.78339130434784,0.5579791666666667,4.402989554007002,0.013280276068744615,2.8045180656141104,290.7701350987619,0.9306125000000001,16.98674379441411
2019-07-10,-0.0117943344408303,-0.03277684858012833,15.499652777777783,2.3813888888889023,275.316375,0.15674999999999997,3.462271911357479,0.0008307589206934634,2.3368177058679436,292.44422708535075,0.8602229166666667,17.12785208535072
2019-07-11,0.0973656452418956,-0.28851256142233406,25.389166666666668,4.2693749999999895,273.1991458333333,0.4841875,7.91516354767443,0.00931158910543925,4.078228083819551,290.08190923256154,0.95670625,16.882763399228207
2019-07-12,-1.7963846964289174,-3.0798320134548387,17.32366590909091,2.178181818181806,272.9387083333333,0.8823333333333333,4.390879847511055,0.08607011131461582,-2.69803489170195,288.7304653246171,0.9243958333333334,15.791756991283764
2019-07-13,0.8589484739303478,0.6161906620096054,13.40128947368421,-23.45684210526316,272.87035416666663,1.2930625,1.958041646764879,0.02473926117941011,-21.98170296932321,288.8314149901147,0.9321520833333333,15.961060823448031
2019-07-14,-0.3021630755082235,-2.6542116582122626,41.876504999999995,-13.788749999999993,272.8559166666667,1.1015416666666666,4.986209825082226,0.07698725268533008,-16.74512473372048,287.6258831645709,0.8737458333333333,14.769966497904194
2019-07-15,-1.113850002413884,-2.925167097972915,33.54158409090909,-5.848409090909095,272.32874999999996,1.1690208333333334,8.147610000665134,0.08512917200544261,-9.887426191295893,287.22347323969115,0.9095416666666667,14.894723239691176
2019-07-16,1.4779127975196416,-3.5864978132154306,42.01538684210526,-27.973157894736843,273.2496458333333,1.2605,5.782264475915794,0.08880005254447448,-30.081742910432627,286.32616835483174,0.7423791666666667,13.07652252149842
2019-07-17,0.8950251807304467,-3.507452699023945,41.28280555555556,-48.44805555555557,272.6474166666667,1.2976458333333334,1.8565289509749445,0.08387432346564859,-51.06048307384906,284.93125256316915,0.74780625,12.283835896502447
2019-07-18,1.0991209202070824,-0.788616339365393,50.727115909090905,-9.333409090909093,273.03827083333334,1.2030833333333333,7.7089001913841955,0.046796870551926883,-9.022904510067404,286.8576441168845,0.8176416666666667,13.8193732835512
2019-07-19,-0.41101615871860137,-2.075591598758604,50.709029166666674,-12.502916666666666,272.7878958333333,0.9556458333333334,9.655691599533746,0.06327844535382503,-14.989524424143873,287.7989238735427,0.8932416666666666,15.011028040209375
2019-07-20,-0.42532281526246135,-0.9883230109369485,33.683885000000004,2.6825000000000103,273.53856249999995,0.6942291666666667,5.716797341677495,0.026075599713185845,1.2688541738006003,289.43693874107356,0.8963645833333334,15.898376241073544
2019-07-21,1.5089123055065459,-0.4426876623955998,20.977325,-13.191111111111107,274.1599375,1.1401666666666668,3.1858097117563147,0.022272424714699306,-12.124886468000163,289.7491020588328,0.8411083333333332,15.589164558832847
2019-07-22,0.5716408019133411,-0.9491984069501257,53.6911975,-16.50175000000001,274.04991666666666,1.1998541666666667,6.076656369784689,0.03136665883098119,-16.879307605036793,289.663247250623,0.8521458333333333,15.613330583956312
2019-07-23,2.4006106649345793,0.9315616435837379,50.89249999999999,-1.2809523809523828,274.23025,1.3963124999999998,9.7322774573129,0.04433014087348031,2.0512199275659344,290.23581873253744,0.8543,16.005568732537455
2019-07-24,0.49338944802286155,-2.3642343222160966,31.05275238095237,-0.18357142857142672,273.7225,1.648625,5.834200623055221,0.07710636760588398,-2.0544163027646625,289.3158245211716,0.8615958333333333,15.593324521171576
2019-07-25,-2.026569314216882,-4.040199569958965,44.74173913043478,-0.42673913043478257,272.90010416666667,1.8313333333333333,11.342181576354694,0.13016068982278012,-6.493508014610629,289.3804660167793,0.9580916666666667,16.48036185011259
2019-07-26,-1.593384837703651,-2.855103499951628,38.08663043478261,0.24456521739130946,272.3339375,1.4950208333333332,9.217400893622237,0.08820904907925026,-4.203923120263969,288.679590918308,0.9866875,16.345653418308018
2019-07-27,-0.5255295239930371,-2.552612151320163,43.61871428571429,-6.179523809523806,273.1550625,1.4534791666666667,7.838980078302412,0.07149466772655286,-9.257665484837005,289.56809944637786,0.9373770833333334,16.41303694637786
2019-07-28,1.3656892301403716,-1.571305245613969,48.27138478260869,-12.933260869565219,273.09441666666663,1.6866666666666665,10.6658017230851,0.06510026470862934,-13.138876885038815,288.9534478854628,0.91285,15.859031218796156
2019-07-29,1.532540073087657,-2.1853029226894214,47.52199761904761,-24.117380952380955,273.91839583333336,1.63225,7.543321234750389,0.08161773109404928,-24.77014380198272,289.6865805276183,0.8543145833333333,15.768184694284948
2019-07-30,0.20126047246270698,-5.171661182338709,80.83090476190476,-28.7602380952381,273.545125,1.27825,11.401532413587557,0.14137024577294688,-33.730638805114104,288.58873489876925,0.8511687499999999,15.04360989876927
2019-07-31,-0.7299756061398288,-1.7681295691348435,58.5245025,-23.398999999999994,274.7051875,0.8234791666666667,7.021658747317634,0.04652700130148248,-25.897105175274664,290.28705498261917,0.8299541666666667,15.581867482619202
2019-08-01,0.09139610567177701,-0.7144393791833232,44.703380952380954,-0.061190476190479834,273.31747916666666,0.505875,8.95604752515985,0.02024163029037238,-0.6842337497020262,289.38507364900653,0.9151250000000001,16.067594482339885
2019-08-02,-0.5572848408293455,-1.0425045054378697,25.452142857142857,1.522380952380951,273.685875,0.6280625,6.192533077575293,0.0287009055360899,-0.07740839388626411,290.30327063822335,0.92064375,16.617395638223353
2019-08-03,0.32234224692178476,-0.4258870713638294,42.39571428571428,-4.686666666666667,273.8316458333333,1.0497916666666667,8.58026566499373,0.02639148748261286,-4.790211491108712,291.0406028332917,0.93569375,17.208956999958367
2019-08-04,0.45709061110295945,-0.16179263255474352,41.6052619047619,0.4792857142857089,274.73372916666665,0.4977916666666667,9.172162516472108,0.0071661390208247406,0.7745836928339248,291.8869670761779,0.8875833333333333,17.15323790951126
2019-08-05,-1.3290004483757532,-2.2542254469326335,12.956650000000002,-0.49374999999999714,274.4168125,0.7762916666666667,3.1530439640013173,0.057816254822603406,-4.076975895308384,291.40823352429976,0.8948187500000001,16.991421024299804
2019-08-06,-1.4981327665387736,-3.4753145059076838,48.12052391304348,-6.2223913043478065,272.76227083333333,1.5980833333333333,10.512453446197677,0.10536794775239691,-11.195838576794264,288.84576665796476,0.94603125,16.083495824631424
