date,sin,sout,albedo,lin,lout,rh,t,u,wd,p,zu,zt,rho,q,teq,ts,qs,zq
2019-02-09,156.698125,118.6428125,,280.28802083333335,304.3515625,0.8901374999999999,273.8870833333333,1.3462500000000002,,574.589779836254,2.0,2.0,0.4200233181985182,0.006217375728039529,289.2489305376775,271.1884141255535,0.005706685918880663,2.0
2019-02-10,134.40156249999998,109.80312500000001,,320.78291666666667,314.31374999999997,0.9259645833333333,273.8430208333333,1.0985416666666667,,574.589779836254,2.0,2.0,0.4209047255732345,0.00646493236314602,289.8135834727936,273.0252582164198,0.006552084935309333,2.0
2019-02-11,171.89364583333335,139.85770833333333,,311.09510416666666,313.7135416666667,0.9276760416666666,273.8275,2.96625,,574.589779836254,2.0,2.0,0.4218474676311073,0.006454761772792972,289.7747596338573,273.1289004578462,0.006606021872150629,2.0
2019-02-12,142.59489583333334,117.841875,,311.82687500000003,315.16,0.9321270833333334,273.759375,1.7753125,,574.589779836254,2.0,2.0,0.42368749187180965,0.006450202433721201,289.69851652064403,273.15,0.0066172968261999825,2.0
2019-02-13,153.18333333333334,134.81989583333333,,305.48645833333336,313.8871875,0.9306916666666667,274.1715625,1.5769791666666666,,574.589779836254,2.0,2.0,0.4125905005736994,0.006661103848868018,290.61861308471134,273.119201014843,0.006600787775619568,2.0
2019-02-14,199.25072916666667,151.331875,,293.3014583333333,313.25614583333333,0.8620875,276.04291666666666,2.1371875,,574.589779836254,2.0,2.0,0.36194008017660334,0.0070743874717031285,293.4672846061208,272.6677602715453,0.006381718931320726,2.0
2019-02-15,140.42510416666667,109.37656249999999,,322.01947916666666,315.16333333333336,0.9159406250000001,274.5438541666667,1.231875,,574.589779836254,2.0,2.0,0.4039713287049435,0.0067175395162913645,291.1252100971321,273.08439416329264,0.006583025186765199,2.0
2019-02-16,122.000625,98.51510416666667,,323.55312499999997,315.01270833333336,0.9095447916666667,274.398125,1.1185416666666665,,574.589779836254,2.0,2.0,0.40564734967366345,0.006635306648768488,290.7753679746232,273.1303039102365,0.006606842429197311,2.0
2019-02-17,191.11864583333332,138.85395833333334,,314.69239583333336,315.15500000000003,0.8509385416666667,275.47781249999997,0.6129166666666667,,574.589779836254,2.0,2.0,0.37695678938637633,0.00663914767564605,291.84964815799447,273.0006974488515,0.006538300122550848,2.0
2019-02-18,184.4830208333333,130.03010416666666,,285.19541666666663,312.44427083333335,0.7301916666666667,276.26989583333335,1.6041666666666667,,574.589779836254,2.0,2.0,0.3561446314303311,0.006045215846441559,291.17154758259386,272.74645357830417,0.006408774019655387,2.0
2019-02-19,145.82750000000001,104.17479166666668,,282.47260416666666,312.3982291666667,0.7348916666666666,276.3361458333333,1.5498958333333333,,574.589779836254,2.0,2.0,0.35527930054539136,0.006089457129696076,291.346838403579,272.683508011787,0.006385469397069732,2.0
2019-02-20,100.715625,76.2584375,,316.6197916666667,315.53822916666667,0.8881885416666666,274.4110416666667,1.1882291666666667,,574.589779836254,2.0,2.0,0.4073401685854918,0.006439721198298712,290.31293668906875,273.15,0.0066172968261999825,2.0
2019-02-21,152.2328125,104.87093750000001,,290.84302083333336,310.78875,0.8535552083333333,274.4902083333333,1.3146875,,574.589779836254,2.0,2.0,0.4043362518566887,0.006250150583222123,289.92051689000976,272.4111509061475,0.006252916156727281,2.0
2019-02-22,279.0210416666667,182.21177083333336,,276.3539583333333,312.69406250000003,0.776565625,275.24593749999997,1.2976041666666667,,574.589779836254,2.0,2.0,0.3845417551196619,0.00596995861872295,289.9791307734814,272.4869526561969,0.006290345128146046,2.0
2019-02-23,364.09666666666664,223.66333333333333,,247.0326041666667,310.4557291666667,0.637,275.77197916666665,1.983125,,574.589779836254,2.0,2.0,0.370582025653256,0.004956775230047049,288.01225259204836,272.33105427497594,0.006209737222516645,2.0
2019-02-24,217.91354166666667,147.69770833333334,,278.48260416666665,313.27625,0.8084739583333334,276.04541666666665,2.4227083333333335,,574.589779836254,2.0,2.0,0.36488631552694956,0.006572771806643824,292.24667709414206,272.89299954795837,0.006482558114275061,2.0
2019-02-25,184.84614583333334,126.70697916666666,,271.17333333333335,310.37125,0.7450260416666666,275.1947916666666,2.1459375,,574.589779836254,2.0,2.0,0.38670009611821593,0.0057345896969583235,289.3495643936511,272.3340807219868,0.006224646451028611,2.0
2019-02-26,117.73083333333334,80.41854166666667,,271.2864583333333,307.48572916666666,0.804409375,274.15260416666666,,,574.589779836254,2.0,2.0,0.41365137118297496,0.005745333097320665,288.3498986556118,271.9649061400491,0.006038859928583205,2.0
2019-02-27,88.94927083333333,71.5359375,,305.6585416666667,308.25885416666665,0.8996885416666666,273.449375,1.3882291666666668,,574.589779836254,2.0,2.0,0.42975328912681854,0.006117679815209199,288.5691968777027,272.32712361069963,0.006209960880449208,2.0
2019-02-28,,,,273.628125,305.3235416666667,0.82125,273.4627083333333,1.703125,,574.589779836254,2.0,2.0,0.43095778934853063,0.005555227887006774,287.20379924125797,271.42313764107024,0.0058066282276610535,2.0
2019-03-01,214.64802083333333,140.18322916666668,,267.0960416666667,303.11093750000003,0.6967197916666666,274.31635416666666,1.4458333333333335,,574.589779836254,2.0,2.0,0.405897164514139,0.005017961625802232,286.71576777050217,270.66922177123234,0.005506663050648629,2.0
2019-03-02,223.73104166666667,143.18958333333333,,299.80875,312.1123958333333,0.6187874999999999,275.8673958333333,1.238125,,574.589779836254,2.0,2.0,0.36804058233505094,0.0049792535281146695,288.1566676002828,272.5934809545742,0.006341786464449858,2.0
2019-03-03,122.86760416666668,83.79,,255.22343750000002,301.5746875,0.7034354166666666,273.98979166666663,1.7006249999999998,,574.589779836254,2.0,2.0,0.4179101219503059,0.0049414396419445025,286.20823367461946,270.8613020004583,0.005562103006274498,2.0
2019-03-04,202.42125,130.34635416666666,,259.935625,306.5425,0.6871208333333333,275.4057291666666,1.7073958333333332,,574.589779836254,2.0,2.0,0.37933853579019167,0.005344509521982214,288.59858873785015,271.4479539038379,0.005822453749122172,2.0
2019-03-05,320.7758333333333,182.6442708333333,,242.48322916666666,306.7761458333333,0.59371875,275.79770833333333,2.1110416666666665,,574.589779836254,2.0,2.0,0.3718960693771407,0.004776450175971362,287.59045924827547,271.6227495308378,0.005878160782554279,2.0
