date,t,pr,rh,u,sin,sout,lin,lout,SR_50 m,zatm_hourly m,Ameas - ,p,zu,zt,rho,q,teq,albedo,ts,qs,zq
2010-07-25 19:00:00,274.025,0.0,0.35415,4.255,0.0,0.0,201.055,289.33,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.43808398460297976,0.0024282634217071457,280.04415987288263,,268.62478636719413,0.004405157148258573,0.88
2010-07-25 20:00:00,273.86499999999995,0.0,0.2364,5.005,0.0,0.0,190.835,284.415,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.44193551073655557,0.0016022866969812013,277.8401283926561,,267.4766286994067,0.003992916148857866,0.88
2010-07-25 21:00:00,273.59999999999997,0.0,0.2334,4.97,0.0,0.0,192.115,282.525,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.4482439644928855,0.0015519285128653396,277.451410498503,,267.03115685795274,0.0038426868791531957,0.88
2010-07-25 22:00:00,273.41499999999996,0.0,0.20805,5.545,0.0,0.0,182.345,280.405,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.45259631536928185,0.0013649546697052026,276.80357673718925,,266.52880659417406,0.0036794775839057137,0.88
2010-07-25 23:00:00,272.91499999999996,0.0,0.228,4.015,0.0,0.0,178.21,277.925,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.46479144118092935,0.001439292356147482,276.4897565344643,,265.93752337451974,0.0034954960410206043,0.88
2010-07-26 00:00:00,272.79999999999995,0.0,0.1882,4.125,0.0,0.0,176.64,276.46,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.4677225520370943,0.0011768194745008314,275.7238463115312,,265.5863756111007,0.0033902500530594718,0.88
2010-07-26 01:00:00,272.64,0.0,0.17595,4.645,0.0,0.0,175.025,275.4,0.88,0.88,1.0,590.7558198002691,0.88,0.88,0.4717655526150654,0.0010857654490130366,275.3382746131051,0.2241472329987877,265.33143163775406,0.0033156604871582285,0.88
2010-07-26 02:00:00,273.14,0.0,0.17845,7.51,3.26,2.47,174.94,276.515,0.89,0.89,0.757668712,590.7558198002691,0.89,0.88,0.4589950335931362,0.0011475964899531701,275.99030318713784,0.22713913589476922,265.5995838157478,0.003394155840026965,0.88
2010-07-26 03:00:00,273.375,0.0,0.1776,8.095,86.725,19.75,177.825,277.86,0.87,0.87,0.227731335,590.7558198002691,0.87,0.88,0.4535318262652438,0.0011618066382473573,276.25985978097196,0.22713913589476922,265.9219729065303,0.0034907728399987056,0.88
2010-07-26 04:00:00,274.7,0.0,0.18865,7.47,524.71,120.525,185.315,287.755,0.88,0.88,0.22969831,590.7558198002691,0.88,0.88,0.4214750742749144,0.0013578555859795334,278.0665120758438,0.22713913589476922,268.25846550890793,0.004269597881272434,0.88
2010-07-26 05:00:00,275.21999999999997,0.0,0.21645,7.995,752.95,183.17,191.88,299.075,0.88,0.88,0.243269805,590.7558198002691,0.88,0.88,0.4082734751793027,0.0016170406358488143,279.22610566203616,0.22713913589476922,270.8586716163179,0.00532037237603568,0.88
2010-07-26 06:00:00,275.515,0.0,0.2551,7.26,920.44,205.645,198.045,306.47,0.88,0.88,0.223420321,590.7558198002691,0.88,0.88,0.4006227415231371,0.0019463222979437204,280.33410268419146,0.22713913589476922,272.5176959357077,0.006108742992279102,0.88
2010-07-26 07:00:00,276.11499999999995,0.0,0.1644,5.32,1011.36,203.205,204.44,309.67,0.87,0.87,0.20092252,590.7558198002691,0.87,0.88,0.3846927345799677,0.001308971530880233,279.35576774301455,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 08:00:00,276.78,0.0,0.2906,3.87,1019.05,193.6,212.49,311.65,0.87,0.87,0.189980865,590.7558198002691,0.87,0.88,0.36644315442784564,0.0024252104979248816,282.7747420262097,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 09:00:00,276.705,0.0,0.35925,3.835,955.76,190.925,219.49,312.825,0.865,0.865,0.199762493,590.7558198002691,0.865,0.88,0.368533243837283,0.0029823080870239205,284.0739413526413,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 10:00:00,276.76,0.0,0.47775,3.49,820.465,182.91,222.48,313.24,0.86,0.86,0.222934555,590.7558198002691,0.86,0.88,0.3670013123458811,0.003981455219498414,286.5890184780688,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 11:00:00,277.445,0.0,0.4776,3.81,622.14,162.66,223.72,313.195,0.86,0.86,0.261452406,590.7558198002691,0.86,0.88,0.3475486706993877,0.004176702449066234,287.74725311910703,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 12:00:00,278.9,0.0,0.43585,1.52,372.855,124.28,224.075,313.295,0.86,0.86,0.333319923,590.7558198002691,0.86,0.88,0.30385197529274716,0.004218672722307471,289.2903146393169,0.22713913589476922,273.15,0.006436214420643204,0.88
2010-07-26 13:00:00,276.91499999999996,0.0,0.45705,0.665,92.975,42.33,220.155,308.32,0.865,0.865,0.455283678,590.7558198002691,0.865,0.88,0.36266030255833204,0.003850796746959297,286.4210054598979,0.22713913589476922,272.9280301346293,0.006319478158479985,0.88
2010-07-26 14:00:00,272.85499999999996,0.0,0.61335,1.53,0.0,0.0,211.74,296.34,0.86,0.86,1.0,590.7558198002691,0.86,0.88,0.46632335855642476,0.0038527546610328555,282.40544280162993,0.22713913589476922,270.2372952538575,0.005049810606734532,0.88
2010-07-26 15:00:00,272.88,0.0,0.58505,1.77,0.0,0.0,209.97,293.1,0.86,0.86,1.0,590.7558198002691,0.86,0.88,0.465685761421073,0.003682581881907799,282.00965903037303,0.22727981413193124,269.4955950484516,0.0047433084331402415,0.88
2010-07-26 16:00:00,273.705,0.0,0.5792,2.495,0.0,0.0,210.825,293.745,0.86,0.86,1.0,590.7558198002691,0.86,0.88,0.4457548668585363,0.0038806004583353255,283.3157733603773,0.22775964716554234,269.6437368066339,0.004803135694724003,0.88
2010-07-26 17:00:00,273.78,0.0,0.61115,2.95,0.0,0.0,210.19,293.125,0.86,0.86,1.0,590.7558198002691,0.86,0.88,0.4439685322572303,0.0041169278216880625,283.97328027195954,0.23000322846290994,269.501341529505,0.004745616429892648,0.88
