date,sample,cal day,time (UT),total time,u,wd,umax,sin,sout,lin,lout,net rad,t,rh_i,rh,tw,p,h,zu,zt,rho,q,teq,ts,qs,zq
2011-01-08,61800.5,7.979166666666667,12.25,8.489583333333334,2.004375,173.20291666666665,3.4152083333333336,33.958958333333335,29.998333333333335,255.83249999999998,284.991875,-26.076875,270.9316666666667,82.66458333333334,0.8445,-2.8179166666666666,774.5975500999435,-2.3672916666666666,3.5,3.5,0.7482309339833426,0.0034628292167323527,279.53446910259356,267.56242993816176,0.0031591351097315042,3.5
2011-01-09,61848.5,8.979166666666666,12.25,9.489583333333334,1.6293749999999998,178.21604166666668,3.390416666666667,46.34270833333333,39.79958333333333,280.338125,294.01979166666666,-7.599374999999999,270.8164583333333,88.625,0.90665625,-2.70375,774.5975500999435,-2.363958333333333,3.5,3.5,0.7510473605589266,0.0036631870364997655,279.91748515884757,269.67766167375737,0.0037341003623282566,3.5
2011-01-10,61896.5,9.979166666666666,12.25,10.489666666666666,0.74625,176.97312499999998,1.64,42.46520833333333,40.72770833333333,300.229375,296.77729166666666,-4.695,270.49583333333334,93.78958333333333,0.9607166666666668,-2.8070833333333334,774.5975500999435,-2.1939583333333332,3.5,3.5,0.7582953451543458,0.0037855866304024994,279.9028899187145,270.33220280441486,0.0038927617544721733,3.5
2011-01-11,61944.5,10.979166666666666,12.25,11.489666666666666,1.4604166666666665,201.958125,2.645208333333333,40.98229166666667,40.844166666666666,276.301875,285.0889583333333,-17.902291666666667,268.84437499999996,84.58624999999999,0.8815291666666667,-4.703541666666667,774.5975500999435,-2.176041666666667,3.5,3.5,0.7943946194282469,0.0030319999880348935,276.3961931079701,267.6016647678779,0.0031360832462467396,3.5
2011-01-12,61992.5,11.979166666666666,12.25,12.489666666666666,1.86625,209.79937500000003,3.4247916666666662,47.54458333333333,39.37520833333333,250.625625,276.705,-19.023541666666667,269.8358333333333,59.544999999999995,0.6138020833333333,-4.4593750000000005,774.5975500999435,-2.1827083333333337,3.5,3.5,0.7716008676757523,0.0023576483230027885,275.70001219530417,265.5590166908359,0.002720512456208234,3.5
2011-01-13,62040.5,12.979166666666666,12.25,13.489666666666666,2.7070833333333333,204.78,4.522708333333333,52.34,46.36708333333333,287.77187499999997,308.18604166666665,-15.339374999999999,275.1827083333333,71.45270833333333,0.7145270833333334,0.6952083333333333,774.5975500999435,-2.1825,3.5,3.5,0.6415604093141778,0.004045876525700966,285.1860876195829,272.534373967759,0.004679915981584578,3.5
2011-01-14,62088.5,13.979166666666666,12.25,14.489666666666666,3.6374999999999997,186.406875,5.349583333333334,71.02729166666667,42.11145833333334,220.12541666666667,283.73041666666666,-36.184374999999996,274.43249999999995,50.108125,0.5012833333333334,-0.6810416666666667,774.5975500999435,-2.2060416666666667,3.5,3.5,0.6609800745771073,0.0026990163444120907,281.1167879219114,267.28414526818864,0.0030543772639089525,3.5
2011-01-15,62136.5,14.979166666666666,12.25,15.489666666666666,3.766666666666667,175.64729166666666,6.105416666666667,82.88604166666667,46.85833333333333,201.37125,270.724375,-35.07208333333333,272.15958333333333,38.542291666666664,0.39023541666666667,-2.9020833333333336,774.5975500999435,-2.225416666666667,3.5,3.5,0.7183250848812527,0.001744776448864277,276.4950083923183,264.1775315275052,0.0023150652970883524,3.5
2011-01-16,62184.5,15.979166666666666,12.25,16.48966666666667,4.1000000000000005,184.47666666666666,5.602083333333333,80.58833333333332,42.73791666666667,202.12458333333333,279.4795833333333,-41.561875,274.91270833333334,43.6525,0.4366833333333333,-0.525,774.5975500999435,-2.22625,3.5,3.5,0.6475201135087201,0.0024260301644125205,280.9204832102823,266.291983853465,0.0027781686844459493,3.5
2011-01-17,62232.5,16.979166666666668,12.25,17.48966666666667,4.458125,184.30708333333334,6.228958333333334,81.39958333333333,44.996874999999996,188.708125,270.3595833333333,-47.16,273.200625,34.231249999999996,0.34315625,-2.14875,774.5975500999435,-2.245625,3.5,3.5,0.6923553612386497,0.0016894953287404553,277.3944295934229,264.0896117074622,0.002295185812578586,3.5
2011-01-18,62280.5,17.979166666666668,12.25,18.48966666666667,3.5064583333333332,172.805625,5.250416666666667,92.81916666666666,51.66083333333333,188.18312500000002,262.17604166666666,-34.526041666666664,270.2414583333333,41.577083333333334,0.42811875000000005,-4.636041666666666,774.5975500999435,-2.2758333333333334,3.5,3.5,0.7638727909455918,0.0016415784206879594,274.3293638309328,262.06529531442237,0.0019218635117211596,3.5
2011-01-19,62328.5,18.979166666666668,12.25,19.48966666666667,2.0500000000000003,196.87249999999997,3.499375,49.32333333333333,39.169583333333335,224.66020833333334,261.9035416666667,-27.990624999999998,265.67979166666663,64.19333333333334,0.69103125,-8.303541666666666,774.5975500999435,-2.299166666666667,3.5,3.5,0.8518169189114615,0.0018204623752120484,270.2328956730285,261.97318545249635,0.0019327592601829091,3.5
2011-01-20,62376.5,19.979166666666668,12.25,20.489520833333334,3.1225,178.53354166666668,4.474583333333333,81.35083333333333,48.443125,170.87770833333332,229.21062500000002,-26.669166666666666,258.85166666666663,50.5,0.5809520833333334,-14.944791666666667,774.5975500999435,-2.3295833333333333,3.5,3.5,0.952480921461425,0.00082206930319603,260.9262244267947,253.3851189318632,0.0008742197088341886,3.5
2011-01-21,62424.5,20.979166666666668,12.25,21.489541666666668,2.580208333333333,174.74895833333335,3.9012499999999997,98.34229166666667,56.239583333333336,167.02604166666666,223.75270833333332,-15.730833333333331,257.9291666666666,52.12020833333333,0.6055833333333334,-15.795833333333334,774.5975500999435,-2.3402083333333334,3.5,3.5,0.9631292248814526,0.0007811547429824891,259.902821705705,251.8717885142626,0.0007518289724842333,3.5
2011-01-22,62472.5,21.979166666666668,12.25,22.489541666666668,1.9666666666666668,182.8997916666667,3.3120833333333333,96.61125,50.40875,151.28375,213.41791666666666,-17.76125,257.3320833333333,62.59854166666667,0.7330979166666666,-16.233958333333334,774.5975500999435,-2.3493749999999998,3.5,3.5,0.9692958781736194,0.0008843983189465291,259.56805420502815,248.90979259066876,0.0005638182936107643,3.5
2011-01-23,62520.5,22.979166666666668,12.25,23.489520833333334,2.8922916666666665,181.04854166666667,4.64875,93.53541666666666,53.6525,152.61145833333333,224.1470833333333,-33.46333333333333,261.72791666666666,34.93541666666667,0.3911125,-12.40625,774.5975500999435,-2.3354166666666667,3.5,3.5,0.9152211413939354,0.0007136058872912236,263.5230665452761,251.9609154974148,0.0007713747404615778,3.5
2011-01-24,62568.5,23.979166666666668,12.25,24.489541666666668,2.7183333333333333,184.100625,4.656458333333333,57.981458333333336,47.38333333333333,202.07791666666665,248.280625,-36.770208333333336,264.0329166666666,52.12979166666667,0.57,-10.080208333333333,774.5975500999435,-2.3272916666666665,3.5,3.5,0.8807468675440379,0.0012915608132586297,267.27136921871414,258.457090266419,0.0014467139121164697,3.5
2011-01-25,62616.5,24.979166666666668,12.25,25.489520833333334,2.498125,187.39895833333333,4.088541666666667,64.14416666666666,44.70104166666667,211.71062500000002,251.98145833333334,-21.69875,263.60416666666663,58.43291666666667,0.6416020833333334,-10.359791666666666,774.5975500999435,-2.330625,3.5,3.5,0.8879293569271461,0.0013952997296138641,267.10446136147135,259.4632303306881,0.0015354214660134391,3.5
