date,year,month,dayofyear,hour,sin,sout,lin,lout,t,rh,vp,p,u,wdir,zu,zt,zq,rho,q,teq,ts,qs
2005-07-11,2005.0,7.0,192.125,11.5,349.1057083333333,109.562875,129.42125000000001,271.2270833333333,264.9851458333333,0.4276280416666667,1.3261479166666665,502.38958333333335,5.228958333333334,189.958125,1.8500000000000003,1.75,1.75,0.5075998605402483,0.0016457511955395414,269.1048162820294,264.22138684091533,0.003771833772117487
2005-07-12,2005.0,7.0,193.125,11.5,353.7539166666667,111.34829166666667,122.76041666666667,264.38208333333336,263.9710416666666,0.1819695,0.5135495833333333,502.7729166666666,4.8158125,206.23204166666665,1.8500000000000003,1.75,1.75,0.5237914047001858,0.0006365781808949619,265.5680922185683,262.5341825299721,0.0032591051963290272
2005-07-13,2005.0,7.0,194.125,11.5,345.54229166666664,107.91679166666667,132.86583333333334,270.31125000000003,265.90524999999997,0.2523418333333333,0.8600325,502.3520833333334,3.9214791666666664,110.23745833333334,1.8500000000000003,1.75,1.75,0.49369635649537097,0.0010663996061428627,268.5729156021166,263.9787418518225,0.003732713463851808
2005-07-14,2005.0,7.0,195.125,11.5,346.1054166666667,99.84100000000001,133.76041666666666,271.81083333333333,266.3142291666666,0.26682833333333333,0.9143841666666667,501.85833333333335,5.577208333333334,88.44733333333333,1.8500000000000003,1.75,1.75,0.48525356570116546,0.0011349367349534397,269.1531247340404,264.38546450586284,0.003775290023311841
2005-07-15,2005.0,7.0,196.125,11.5,339.48533333333336,94.78845833333332,143.1175,276.5991666666667,266.1797291666666,0.37148125,1.2667091666666666,502.15000000000003,5.0181875,113.93945833333333,1.8500000000000003,1.75,1.75,0.48844709711342454,0.001571792981394607,270.1103587893137,265.53663398245067,0.004185527058268765
2005-07-16,2005.0,7.0,197.125,11.5,287.75754166666667,83.09558333333332,153.83166666666668,276.93458333333336,265.5940625,0.48539791666666665,1.5997129166666666,502.2375,1.6318541666666666,197.09479166666665,1.8500000000000003,1.75,1.75,0.49846730476861145,0.0019858873850268923,270.5588462110247,265.5919642104613,0.004268138139098698
2005-07-17,2005.0,7.0,198.125,11.5,337.71904166666667,92.395,147.09041666666667,277.6791666666667,266.57504166666666,0.26925875,0.9610383333333333,501.37083333333334,3.1223125,270.77875,1.8500000000000003,1.75,1.75,0.4806553876215865,0.001194231427569276,269.560320557262,265.72307839072135,0.004346319244984427
2005-07-18,2005.0,7.0,199.125,11.5,346.5269166666667,96.27016666666667,136.29208333333335,275.2658333333333,267.86379166666666,0.17716345833333333,0.6922020833333334,500.9583333333333,4.984666666666667,270.7858333333333,1.8500000000000003,1.75,1.75,0.45757924284143553,0.0008610153488461057,270.0142823757007,265.2149605206317,0.004084238243079362
2005-07-19,2005.0,7.0,200.125,11.5,317.0392083333333,96.42191666666668,144.8075,276.5416666666667,265.7232708333333,0.59031875,1.8996420833333334,501.8041666666666,4.189791666666667,269.9195833333333,1.8500000000000003,1.75,1.75,0.4955277198357289,0.0023630402155484734,271.631010950341,265.4969940263485,0.004239014685589726
2005-07-20,2005.0,7.0,201.125,11.5,349.2367916666667,100.06545833333332,116.835,269.425,265.4335625,0.26642933333333335,0.8074741666666667,502.3125,6.098395833333334,263.56541666666664,1.8500000000000003,1.75,1.75,0.500571253204387,0.0010028807612186038,267.9456237019597,263.7987964853756,0.003594312698797211
2005-07-21,2005.0,7.0,202.125,11.5,345.8905,94.354,117.80166666666668,270.4691666666667,266.1740208333333,0.09977695833333333,0.34268625,502.46875,3.604875,190.67679166666665,1.8500000000000003,1.75,1.75,0.4894484739086311,0.00042489543994414335,267.23740943180206,264.0048290246554,0.003774177771715955
