date,t,pr,rh,u,sin,sout,lin,lout,Rnet W m-2,Ameas - ,p,zu,zt,rho,q,teq,ts,qs,zq
2011-10-27,272.40239474199996,0.08700411263157894,0.7492105303684211,3.7289473760000003,329.2455258147368,66.61789499710527,314.64736939473687,,214.75920694605264,0.4882411602631579,566.7044366295047,2.5,2.5,0.44628195154824274,0.004681176687910609,284.00319702550263,,,2.5
2011-10-28,272.65364583108334,0.0,0.6446041679583333,3.333333303375,278.602082893375,49.346041973458334,297.9874979625,,169.78729037458334,0.5849872194166666,566.7044366295047,2.5,2.5,0.4399809359332925,0.004195092559617883,283.04546266375985,,,2.5
2011-10-29,272.749499998,0.08009362579166666,0.8917291721666666,1.9375000146249999,182.79583279279166,37.357916731500005,336.52916845,,121.51083413479166,0.6428529217083333,566.7044366295047,2.5,2.5,0.4382323702039876,0.005758095424238338,287.00172918327706,,,2.5
2011-10-30,272.151479172875,0.16273685645833333,0.8837708345416666,1.927083344875,214.85270876129167,129.0412499675,348.28333155416664,,78.12604133904166,0.8267191604583334,566.7044366295047,2.5,2.5,0.45184895034801636,0.005418969639745437,285.5751678735435,,,2.5
2011-10-31,272.0319791624583,0.15557290991666667,0.92954166725,1.6167590072083333,171.54499881,139.56250008208335,363.55624961666666,,28.334583154875002,0.9321002284166666,566.7044366295047,2.5,2.5,0.4542279254525239,0.005637934240729999,285.9964578021414,,,2.5
2011-11-01,271.52079165908333,0.07031844566666666,0.9245624939166667,1.5937500067083334,171.84104263291667,142.44979158958333,367.1020832041667,,33.20375027475,0.9174671004166667,566.7044366295047,2.5,2.5,0.4658681032399316,0.005417003504531926,284.9465878946076,,,2.5
2011-11-02,272.1944583404583,0.0,0.890479167375,2.314583322458333,200.71583381999997,151.07895882779167,346.2187468125,,38.51812498095833,0.884578566875,566.7044366295047,2.5,2.5,0.4509482431026182,0.005479957879345785,285.76838635635033,,,2.5
2011-11-03,272.44964584204166,0.0,0.8802916670416666,2.00624999525,192.68458485375,137.2362494525,333.0499992375,,29.819166497041667,0.8768247051666668,566.7044366295047,2.5,2.5,0.44497705552404293,0.005549803410042304,286.19169270470155,,,2.5
2011-11-04,273.1191249755833,0.0,0.90916666825,1.6776812414166666,227.46395710875,168.37583478416667,358.4916674291667,,44.092291963625,0.878477410625,566.7044366295047,2.5,2.5,0.42833899056323094,0.0059745906279804984,287.89845079331207,,,2.5
2011-11-05,273.79168750216667,0.0,0.8391875012916666,1.8854166691666665,209.95104179999998,141.79812548375,361.8583329583333,,50.11958337091667,0.839526603875,566.7044366295047,2.5,2.5,0.4114776042785535,0.0058034333230207414,288.13904088842327,,,2.5
2011-11-06,273.8953333233333,0.0,0.75310416775,1.960416663125,237.91041739745833,137.08520898958332,322.5729172958333,,53.10020813166667,0.7959048144166667,566.7044366295047,2.5,2.5,0.4077883411858967,0.005209422664984867,286.7782315132044,,,2.5
2011-11-07,273.07964583704165,0.071391727375,0.7852291663333334,2.754166668916667,212.99020806666667,112.15708263379167,317.21666780833334,,52.543542235833335,0.7637556659166668,566.7044366295047,2.5,2.5,0.42942456609998897,0.0052236385529683,286.00645297369704,,,2.5
2011-11-08,274.10037500616664,0.00039177579166666665,0.4598541652916666,3.7145833124166665,295.9397902079167,107.99645764908333,297.75416627916667,,126.01416818625,0.6859306038333334,566.7044366295047,2.5,2.5,0.4044873693941611,0.0033236856007088935,282.328104722335,,,2.5
2011-11-09,274.2765833442083,0.1092722425,0.5657291650416667,2.268749993291667,254.4364561207917,51.501874363625,297.897914875,,144.34708273916667,0.6005353640833334,566.7044366295047,2.5,2.5,0.3988001955982916,0.004112439251770484,284.44675210701035,,,2.5
2011-11-10,273.9990000012916,0.0,0.6013541661666667,2.733333334375,269.05374987812496,48.08185388483333,295.06666628333335,,160.93023072070832,0.58712629225,566.7044366295047,2.5,2.5,0.4064023597086413,0.004210728693105025,284.418036627,,,2.5
2011-11-11,272.50933332912496,0.19811681441666665,0.62983333475,2.7145833473333334,201.576042531375,45.23979123425,291.2020826291667,,100.752916710125,0.676007395875,566.7044366295047,2.5,2.5,0.4430034241279574,0.0041197006868697005,282.7117953306244,,,2.5
2011-11-12,273.8761041697083,0.00043825766666666664,0.7114791622916666,2.0333333337916666,273.5797902929167,132.90416546579166,310.5041656541667,,98.03604134237501,0.7356304824583333,566.7044366295047,2.5,2.5,0.4093968146039417,0.004951676301840164,286.1254790028936,,,2.5
2011-11-13,274.0432083283333,0.10190154729166667,0.7801041650833334,2.39375000325,233.12750013833332,42.99210423033333,304.133335125,,137.69997817558334,0.5763146505416666,566.7044366295047,2.5,2.5,0.4059623821458178,0.005504797107227669,287.6520511928145,,,2.5
2011-11-14,273.948208335875,0.1112731785,0.7532916689166665,2.3604166731666667,182.12624979625,43.15625045908334,307.53750038749996,,92.61999970958334,0.6029425952499999,566.7044366295047,2.5,2.5,0.4088128868586976,0.005297018054404593,287.0485004354135,,,2.5
2011-11-15,273.28204165579166,0.0,0.556375,3.7291666467916667,264.08937621291665,46.455208480208334,285.89791648333335,,156.490417482375,0.5775790104166667,566.7044366295047,2.5,2.5,0.425097440926415,0.0037974225804638835,282.68402858495796,,,2.5
2011-11-16,272.98572915866663,0.0,0.7952291591249999,1.9458333365833334,220.39229273958333,44.67629119370833,315.9020843541667,,139.21391793458332,0.5901715325416667,566.7044366295047,2.5,2.5,0.43175580728006335,0.00519056550089615,285.83524954437996,,,2.5
