date,t,rh,t2,rh2,u,wd,sin,sout,lin,lout,sr50,tiltx,tilty,p,zu,zt2,zt,zq,rho,q,teq,ts,qs
2012-11-27,264.5111714285714,0.22255142857142857,-8.295628571428571,17.25914285714286,3.146114285714286,,120.09453142857144,52.19918285714285,161.36485714285715,259.78828571428573,0.5147714285714285,-2.158114285714286,-0.46277142857142856,556.5862991306207,1.9502285287528005,,1.4103300970873784,1.4103300970873784,0.5855306472694903,0.0007508260829953764,266.39282407383376,261.3859086375693,0.0026642655061859585
2012-11-28,266.6517916666666,0.1719770833333333,-6.2185,13.405625,4.3816041666666665,274.6136041666667,216.36815208333334,94.77276666666667,166.79583333333332,266.5210416666667,0.5166666666666667,-2.1584375000000002,-0.45393750000000005,556.5862991306207,1.95078640776699,,1.4111359223300972,1.4111359223300972,0.5517793620205518,0.000689414569838015,268.37605650284974,263.0795368833753,0.0030564968541511527
2012-11-29,264.78985416666666,0.19077708333333332,-8.240395833333332,15.558958333333335,6.4105625,285.94083333333333,217.09170208333333,87.11963125,159.51583333333335,261.77729166666666,0.5210833333333333,-2.182958333333333,-0.44902083333333337,556.5862991306207,1.9514316654219568,,1.4120679611650484,1.4120679611650484,0.5807311754436133,0.0006535568738253126,266.4275214189369,261.9085341834517,0.002739706390847401
2012-11-30,265.32025,0.16068333333333332,-7.650895833333333,12.322916666666666,6.2125625,283.5208333333333,216.34011041666668,80.47444375,156.35208333333333,262.35020833333334,0.5225833333333333,-2.1707083333333332,-0.4482291666666667,556.5862991306207,1.952076923076923,,1.413,1.413,0.5743684019186689,0.000566643793679181,266.7399633149217,262.0600611254968,0.0027642699910291665
2012-12-01,265.2320625,0.18870833333333334,-7.736541666666667,14.834791666666666,4.501520833333333,278.1345833333333,212.56782083333334,74.16398124999999,163.46416666666667,265.1191666666667,0.5243125000000001,-2.1471041666666664,-0.4387916666666667,556.5862991306207,1.9527221807318895,,1.4139320388349514,1.4139320388349514,0.5756375357278963,0.0006705158996458361,266.9116725183246,262.7320329889709,0.002966394704989382
2012-12-02,266.9038333333333,0.1575125,-5.977250000000001,11.9503125,4.781145833333333,278.1404166666667,212.9859375,70.92157916666666,164.22479166666668,268.42020833333333,0.5265208333333333,-2.1407083333333334,-0.43570833333333336,556.5862991306207,1.9533674383868558,,1.4148640776699029,1.4148640776699029,0.5475251669573872,0.0006449910694824487,268.51660964065695,263.54147763580994,0.003196112525964133
2012-12-03,268.4007083333333,0.14014791666666668,-4.3778958333333335,10.340270833333333,5.1009375,279.7354166666667,203.04116666666667,65.48791041666667,172.59229166666668,271.6645833333333,0.5293541666666667,-2.138145833333333,-0.42933333333333334,556.5862991306207,1.9540126960418223,,1.4157961165048543,1.4157961165048543,0.5197053141522795,0.0006589765126683251,270.04555475830455,264.3478596388141,0.0033986650721843036
2012-12-04,267.20262499999995,0.19444583333333332,-5.547791666666666,14.47875,3.29825,266.36645833333336,210.45378541666665,64.70458333333333,167.56208333333333,270.80104166666666,0.5327083333333333,-2.11375,-0.42543749999999997,556.5862991306207,1.9546579536967885,,1.416728155339806,1.416728155339806,0.5404593106818525,0.0008045825407001321,269.2136901531688,264.115056289759,0.0033786399890003375
2012-12-05,267.7359375,0.28330416666666663,-5.022458333333334,22.678124999999998,2.3740208333333332,259.100625,205.69921041666666,60.31649791666666,177.44875,278.1466666666667,0.5328125,-2.0985833333333335,-0.4152708333333333,556.5862991306207,1.9553032113517552,,1.417660194174757,1.417660194174757,0.5311753464377792,0.001244485354321114,270.8425054126912,265.80492132008504,0.003945119413670487
2012-12-06,268.03187499999996,0.17275625000000003,-4.800083333333333,13.081249999999999,3.7587499999999996,259.20229166666667,208.91964583333333,61.10258125000001,170.60979166666667,273.8641666666667,0.5341458333333334,-2.0999166666666667,-0.417,556.5862991306207,1.9559484690067215,,1.4185922330097087,1.4185922330097087,0.5253314129059715,0.000778810870736094,269.9764697567525,264.8598673830417,0.003601208573767701
2012-12-07,268.5900208333333,0.21466875,-4.372645833333333,17.862083333333334,5.393395833333333,,207.0492875,62.3369625,186.89583333333334,276.6485416666667,0.53625,-2.116625,-0.418375,556.5862991306207,1.9565937266616877,,1.4195242718446603,1.4195242718446603,0.5164668677836474,0.0010087246585971591,271.1072700493991,265.57054416617717,0.0037348248466153124
2012-12-08,265.7911041666666,0.19926666666666668,-7.320291666666667,16.362083333333334,4.1081875000000005,272.8072291666667,209.18401458333335,62.9400125,165.50541666666666,270.339375,0.5395833333333334,-2.1125208333333334,-0.41087500000000005,556.5862991306207,1.9572389843166542,,1.4204563106796115,1.4204563106796115,0.564437314908201,0.0007877549955729971,267.76103927003174,263.9779586340191,0.00338333295271027
2012-12-09,263.2058125,0.1741,-9.917145833333333,13.254083333333334,3.786583333333333,263.31374999999997,209.33462916666667,66.16535833333333,149.77604166666666,259.510625,0.539125,-2.1035208333333335,-0.41385416666666663,556.5862991306207,1.9578842419716205,,1.4213883495145632,1.4213883495145632,0.604853255899025,0.0005250319364502934,264.5237748990582,261.30593575581827,0.0026574424605311383
2012-12-10,263.78181249999994,0.2058375,-9.2644375,16.918270833333334,3.7030208333333334,268.45772916666664,207.83770416666667,65.780525,156.106875,261.63854166666664,0.539,-2.1167083333333334,-0.4100625,556.5862991306207,1.958529499626587,,1.4223203883495144,1.4223203883495144,0.5957842813451253,0.0006478375660764337,265.40680438156846,261.8361772026808,0.0027929431868635693
