date,t,pr,u,sin,sout,lin,lout,SR_50 m,Ameas,p,zu,zt,rh,rho,q,teq,ts,qs,zq
2006-05-20,273.7176657450526,0.0,1.8060386128421053,242.80657894736842,84.46894736842106,242.2315789473684,304.5105263157895,,0.6146242381578947,590.3135444328682,2.0,2.0,0.7077059626842106,0.44261525110314076,0.004653104260098018,285.2321175417171,271.3916439019265,0.005631166398968586,2.0
2006-05-21,273.5634193925417,0.0,1.2082781200416666,235.64770833333333,76.443125,255.0979166666667,305.0833333333333,,0.6949334272916667,590.3135444328682,2.0,2.0,0.7161213121666666,0.44565207869664164,0.004612384524378177,284.97933655026856,271.59676083587385,0.005720735722007594,2.0
2006-05-22,273.27529459862495,0.0,2.3899447867083334,289.17895833333336,99.07541666666667,204.80625,300.97499999999997,,0.727997069,590.3135444328682,2.0,2.0,0.543527068625,0.45148205781442224,0.003406106612612683,281.7159322579521,270.88276855701264,0.005422258775270135,2.0
2006-05-23,273.4828502267083,0.0,3.0507781200416666,156.036875,63.3975,228.64374999999998,298.6166666666667,,0.7289074853333334,590.3135444328682,2.0,2.0,0.63342499675,0.44925511597984996,0.0041965005733549275,283.8701753119895,270.1784327013203,0.005144167129855096,2.0
2006-05-24,274.829452298625,0.049660440416666674,3.9299447867083335,202.12187500000002,75.01541666666667,229.0583333333333,306.5083333333333,,0.72125704275,590.3135444328682,2.0,2.0,0.6635844789583333,0.4158883354869878,0.004807424199750827,286.7115926995063,272.01742464208877,0.005892434842330802,2.0
2006-05-25,274.4048105129583,0.022889107833333335,3.4420281200416665,258.193125,94.34604166666666,228.2770833333333,304.9375,,0.7185040927916666,590.3135444328682,2.0,2.0,0.66663799825,0.42634052238851017,0.0046327426375207545,285.86184387279246,271.68546768515324,0.005768633564934155,2.0
2006-05-26,274.660355026625,0.0,8.817028120416667,291.48312500000003,105.47166666666665,200.48333333333335,298.7375,,0.7305253716250001,590.3135444328682,2.0,2.0,0.34130003633333333,0.4208629928574366,0.002442575193198217,280.7084785739797,270.57202231491436,0.005286020894824624,2.0
2006-05-27,274.9179391803333,0.0,4.7774447870416665,291.53125,107.04020833333334,183.6,293.33750000000003,,0.734401237,590.3135444328682,2.0,2.0,0.2201461325,0.4134351175409932,0.0016379609388730363,278.9742145452665,269.41114236117454,0.004824871873018722,2.0
2006-05-28,274.3483026324166,0.0,4.087444786833333,289.1539583333333,106.16791666666667,187.6208333333333,294.33750000000003,,0.7320224690416667,590.3135444328682,2.0,2.0,0.331102755,0.4281490437590196,0.0023229871726805776,280.10267381460307,269.60949329106,0.004896054989226582,2.0
2006-05-29,273.6601943484166,0.0,3.2336947867083334,277.5672916666667,95.55833333333334,198.49375,297.84999999999997,,0.7279588187916667,590.3135444328682,2.0,2.0,0.5494631693333333,0.4441446917998722,0.003671267484340815,282.7499103683561,270.18550948064495,0.005139687969675431,2.0
2006-05-30,273.1400457102083,0.0,5.72536145325,178.61333333333334,69.90833333333333,219.3708333333333,300.8625,,0.7245465744583334,590.3135444328682,2.0,2.0,0.682646566375,0.45807801256981634,0.004363901915022152,283.9469572038449,270.9162050947686,0.005419734621290303,2.0
2006-05-31,274.1679406693333,0.0,10.424944786958333,120.33437500000001,48.678333333333335,236.69375,306.74791666666664,,0.72335620125,590.3135444328682,2.0,2.0,0.69112827475,0.4334685893419376,0.004796614922100105,286.03130127572865,272.12922963483055,0.005934115486772994,2.0
2006-06-01,273.9927165468333,0.0,6.3468460587083335,107.54958333333333,58.213750000000005,270.9875,309.66041666666666,,0.7985147835833333,590.3135444328682,2.0,2.0,0.769902501875,0.4379887238926175,0.005272781926843152,287.03142337597654,272.5987301855282,0.006164270006962816,2.0
2006-06-02,274.7494035782083,0.0,2.1015700402083333,195.4729166666667,113.58125,301.9770833333333,311.875,,0.7814144343749999,590.3135444328682,2.0,2.0,0.7666575959583333,0.41794925700215163,0.005497611218606687,288.3318962891704,272.8362201028312,0.006284680126999721,2.0
2006-06-03,274.1939406467083,0.0,1.0958577565,148.92125000000001,86.56666666666666,295.42291666666665,311.94166666666666,,0.8160055095833334,590.3135444328682,2.0,2.0,0.8192198875416666,0.4323064987075285,0.005653363472760824,288.16656889836764,272.8033479409642,0.006271080580750615,2.0
2006-06-04,274.41892308562495,0.0,1.73899430075,137.52770833333332,60.87125,267.9604166666667,307.7395833333333,,0.7496306282083333,590.3135444328682,2.0,2.0,0.75689897575,0.4263829904731167,0.0053182771804964266,287.5631950130311,271.9922178520278,0.005895834619834019,2.0
2006-06-05,273.8184072047083,0.06736767491666666,0.8291621860416667,110.94958333333334,80.391875,319.07708333333335,313.54791666666665,,0.8923923504166668,590.3135444328682,2.0,2.0,0.8356982650416667,0.44204491094660786,0.005618337137483418,287.71108354075704,273.06667661910063,0.006398032459288873,2.0
2006-06-06,274.00577029,0.00033785754166666665,1.11149430075,115.08020833333335,87.08999999999999,311.18125000000003,312.06666666666666,,0.8952792889583333,590.3135444328682,2.0,2.0,0.8578270892500001,0.43740337008498953,0.005864672178003206,288.5014864926765,272.8600890935565,0.006298239149737854,2.0
2006-06-07,274.8011913762083,0.0,1.41124888525,136.64625,84.955625,292.5125,311.59791666666666,,0.8196695643749999,590.3135444328682,2.0,2.0,0.7577627831666667,0.4172637346280182,0.005481210628033276,288.3419135820689,272.79474013486987,0.006267565411103806,2.0
