date,t,rh,u,sin,sout,lin,lout,p,zu,zt,rho,q,albedo,ts,qs,zq
2011-07-08 16:00:00,275.22999999999996,0.9932,0.9,101.11364,42.07,329.3,317.04,861.5629500947016,2.0,2.0,0.7507856088116066,0.005091330289441867,0.4063590497002612,273.15,0.004413178544944923,2.0
2011-07-08 17:00:00,275.10999999999996,0.9941,1.07,71.3,28.76,325.84,316.44,861.5629500947016,2.0,2.0,0.7540152445940846,0.005052429744320738,0.40826191944809415,273.15,0.004413178544944923,2.0
2011-07-08 18:00:00,275.09,0.9941,1.33,66.545542,26.26,325.62,316.34,861.5629500947016,2.0,2.0,0.7545516508555286,0.005045209480792296,0.41204310353402873,273.15,0.004413178544944923,2.0
2011-07-08 19:00:00,275.08,0.9941,1.25,30.92,12.07,324.04,316.18,861.5629500947016,2.0,2.0,0.7548196545333354,0.005041602777767465,0.41301857155671723,273.15,0.004413178544944923,2.0
2011-07-08 20:00:00,275.12,0.9941,1.39,15.47,5.66,323.46,316.24,861.5629500947016,2.0,2.0,0.7537468418732137,0.00505604330731689,0.4019029353415551,273.15,0.004413178544944923,2.0
2011-07-08 21:00:00,275.56,0.9932,0.42,3.51,1.04,325.37,317.7,861.5629500947016,2.0,2.0,0.7418043233365933,0.0052126006657379105,0.3888434989316862,273.15,0.004413178544944923,2.0
2011-07-08 22:00:00,275.38,0.9932,0.49,0.0,0.0,324.69,317.95,861.5629500947016,2.0,2.0,0.7467214335254944,0.00514613986040973,0.3828557415095114,273.15,0.004413178544944923,2.0
2011-07-08 23:00:00,275.28999999999996,0.9941,0.47,0.0,0.0,324.19,318.06,861.5629500947016,2.0,2.0,0.7491635672881289,0.0051178251380921075,0.3795909489659131,273.15,0.004413178544944923,2.0
2011-07-13 00:00:00,274.62,0.6146,8.87,3.42,1.55,226.45,311.28,861.5629500947016,2.0,2.0,0.7670052901926565,0.0030159008313431915,0.3805225419445117,273.15,0.004413178544944923,2.0
2011-07-13 01:00:00,274.73999999999995,0.5766,8.48,3.19,2.53,221.39,310.28,861.5629500947016,2.0,2.0,0.7638531649012947,0.0028538978737505435,0.3761579479674961,273.15,0.004413178544944923,2.0
