date,t,rh,u,wd,sin,sout,lin,lout,sr50,p,zu,zt,rho,q,teq,ts,qs,zq
2017-11-10,261.6325,0.28369722222222227,,,167.71875000000003,109.04186111111113,141.34388888888893,,,527.6666666666666,2.2499358504398828,1.7797647849462375,0.5877922964851899,0.0007595413929529354,263.54300466179285,,,1.7797647849462375
2017-11-11,264.1809583333333,0.20019999999999993,2.923645833333334,,246.20146666666668,152.49855833333334,148.32229166666664,244.73062499999995,,528.5458333333335,2.2497818914956014,1.779200268817206,0.554226570467746,0.0006793639121118598,265.8847673382706,257.4908943012158,0.0019962870326979258,1.779200268817206
2017-11-12,265.0955,0.17275833333333337,4.196604166666665,,246.64862499999995,152.82725416666665,147.8452083333333,247.715,,527.69375,2.249605938416422,1.778555107526883,0.5397079904262594,0.0006300807986924652,266.67451236785206,258.3073057464292,0.0021017865637929078,1.778555107526883
2017-11-13,266.18845833333336,0.13197083333333334,4.419833333333334,178.58524999999997,244.55085416666665,152.6244375,146.68500000000003,249.3387499999999,,528.1395833333331,2.2494299853372435,1.777909946236561,0.5224259015067096,0.0005336250198958006,267.52405024523165,258.72058889009463,0.002195724451551113,1.777909946236561
2017-11-14,,,,,,,,,,528.3931377978284,2.2492540322580648,1.7772647849462375,,,,,,1.7772647849462375
2017-11-15,,,,,,,,,,527.430482467989,2.249078079178886,1.776619623655914,,,,,,1.776619623655914
2017-11-16,,,,,,,,,,527.430482467989,2.2489021260997073,1.775974462365592,,,,,,1.775974462365592
2017-11-17,,,,,,,,,,527.430482467989,2.2487261730205286,1.7753293010752695,,,,,,1.7753293010752695
2017-11-18,,,,,,,,,,527.430482467989,2.24855021994135,1.774684139784947,,,,,,1.774684139784947
2017-11-19,,,,,,,,,,527.430482467989,2.248374266862171,1.7740389784946249,,,,,,1.7740389784946249
2017-11-20,,,,,,,,,,527.430482467989,2.2481983137829924,1.7733938172042996,,,,,,1.7733938172042996
2017-11-21,,,,,,,,,,527.430482467989,2.2480223607038137,1.7727486559139773,,,,,,1.7727486559139773
2017-11-22,,,,,,,,,,527.430482467989,2.247846407624635,1.7721034946236554,,,,,,1.7721034946236554
2017-11-23,,,,,,,,,,527.430482467989,2.2476704545454558,1.7714583333333331,,,,,,1.7714583333333331
2017-11-24,,,,,,,,,,525.174821820916,2.247494501466277,1.7708131720430105,,,,,,1.7708131720430105
2017-11-25,,,,,,,,,,526.8423017180829,2.2473185483870983,1.7701680107526883,,,,,,1.7701680107526883
2017-11-26,,,,,,,,,,525.2597039503304,2.247142595307919,1.7695228494623636,,,,,,1.7695228494623636
2017-11-27,260.61999999999995,0.24011250000000003,2.9585208333333326,186.17875,219.35108333333332,131.2132291666667,135.4095833333334,231.89062499999997,,522.3229166666667,2.2469666422287404,1.7688776881720416,0.5928585241092168,0.0005815381692031372,262.08510928638105,254.06395017214894,0.0014476237583634303,1.7688776881720416
2017-11-28,,,,,,,,,,524.7212125407461,2.2467906891495617,1.7682325268817196,,,,,,1.7682325268817196
2017-11-29,,,,,,,,,,524.8861522322474,2.246614736070383,1.7675873655913972,,,,,,1.7675873655913972
2017-11-30,262.07624999999996,0.1614916666666667,4.754645833333334,232.48539583333334,215.73389583333332,128.51468750000004,135.52395833333335,234.36395833333336,,524.6541666666667,2.2464387829912043,1.7669422043010743,0.5782907949266577,0.0004612557723545088,263.2359702562349,254.7394323218426,0.0015340635740764875,1.7669422043010743
2017-12-01,,,,,,,,,,526.1609740531635,2.2462628299120255,1.7662970430107523,,,,,,1.7662970430107523
2017-12-02,,,,,,,,,,527.430482467989,2.246086876832847,1.76565188172043,,,,,,1.76565188172043
2017-12-03,,,,,,,,,,527.430482467989,2.245910923753668,1.7650067204301079,,,,,,1.7650067204301079
2017-12-04,,,,,,,,,,527.430482467989,2.2457349706744876,1.7643615591397859,,,,,,1.7643615591397859
2017-12-05,,,,,,,,,,527.430482467989,2.245559017595309,1.7637163978494639,,,,,,1.7637163978494639
2017-12-06,,,,,,,,,,527.430482467989,2.24538306451613,1.763071236559141,,,,,,1.763071236559141
2017-12-07,,,,,,,,,,527.430482467989,2.2452071114369514,1.7624260752688186,,,,,,1.7624260752688186
2017-12-08,,,,,,,,,,527.430482467989,2.2450311583577727,1.7617809139784966,,,,,,1.7617809139784966
2017-12-09,,,,,,,,,,527.430482467989,2.244855205278594,1.761135752688172,,,,,,1.761135752688172
2017-12-10,,,,,,,,,,527.430482467989,2.244679252199415,1.76049059139785,,,,,,1.76049059139785
2017-12-11,,,,,,,,,,527.430482467989,2.2445032991202365,1.7598454301075277,,,,,,1.7598454301075277
2017-12-12,,,,,,,,,,527.430482467989,2.2443273460410578,1.759200268817205,,,,,,1.759200268817205
2017-12-13,,,,,,,,,,527.430482467989,2.244151392961878,1.7585551075268828,,,,,,1.7585551075268828
2017-12-14,,,,,,,,,,527.430482467989,2.2439754398826994,1.757909946236558,,,,,,1.757909946236558
2017-12-15,,,,,,,,,,527.430482467989,2.2437994868035207,1.7572647849462353,,,,,,1.7572647849462353
2017-12-16,,,,,,,,,,527.430482467989,2.243623533724342,1.7566196236559133,,,,,,1.7566196236559133
2017-12-17,,,,,,,,,,527.430482467989,2.2434475806451633,1.755974462365591,,,,,,1.755974462365591
2017-12-18,,,,,,,,,,527.430482467989,2.2432716275659845,1.7553293010752684,,,,,,1.7553293010752684
2017-12-19,,,,,,,,,,527.430482467989,2.243095674486806,1.7546841397849462,,,,,,1.7546841397849462
2017-12-20,,,,,,,,,,527.430482467989,2.242919721407627,1.7540389784946224,,,,,,1.7540389784946224
